Date,Username,User tag,Content,Mentions,link
"2023-10-23,20:46:14","ilbas","#0","484要這樣才對啊?","","https://cdn.discordapp.com/attachments/1163002641010413668/1165994587207245924/image.png?ex=655b5514&is=6548e014&hm=f29c55eb6fad725e0c0633402937b72d99905f05e6043159410495e1614439a0&"
"2023-10-23,20:47:31","ohtani_showyu","#0","你這樣都是對ㄉ","ilbas#0",""
"2023-10-23,20:52:35","yuu0210_","#0","https://silly-march-e76.notion.site/React-ec8e2284bdce47df9b34363b7644cc80","",""
"2023-10-23,20:52:38","yuu0210_","#0","筆記","",""
"2023-10-23,21:01:32","star533422","#0","https://hackmd.io/@stephen533422/r1P3o97z6","",""
"2023-10-23,21:01:44","star533422","#0","筆記","",""
"2023-10-23,21:12:51","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-1-ffa43ebe0b4b4193950a18b25ddb3478","",""
"2023-10-23,21:12:54","rouyu.","#0","筆記","",""
"2023-10-23,21:33:05","ilbas","#0","練背、肩、腿","",""
"2023-10-23,21:33:08","ilbas","#0","運動","",""
"2023-10-23,22:10:05","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-10-23,22:10:07","lark1987","#0","筆記","",""
"2023-10-23,22:23:31","rororo","#5892","https://cherry-nemophila-a61.notion.site/React-e7b2a91e803944b89ba22ec4b2935eae?pvs=4","",""
"2023-10-23,22:23:33","rororo","#5892","筆記","",""
"2023-10-23,22:35:44","angeltsui","#0","練手，pull up","",""
"2023-10-23,22:35:47","angeltsui","#0","運動","",""
"2023-10-23,22:36:12","yiyixiaoqisi","#0","https://hackmd.io/ZglSJPXbQiyOSlSBOLJr2A","",""
"2023-10-23,22:36:16","yiyixiaoqisi","#0","筆記","",""
"2023-10-23,22:47:40","yiyixiaoqisi","#0","https://hackmd.io/yQ9ln6JUSEaYCxC3LRCp-A","",""
"2023-10-23,22:53:14","lulu_cheng","#0","https://liberating-stem-e7b.notion.site/React-ef420ab297424a9b8fa0798f1be1a1e7?pvs=4","",""
"2023-10-23,22:53:17","lulu_cheng","#0","筆記","",""
"2023-10-23,23:05:39","rouyu.","#0","健身環
運動","",""
"2023-10-23,23:15:38","rororo","#5892","核心 30m
背 20m","",""
"2023-10-23,23:15:40","rororo","#5892","運動","",""
"2023-10-23,23:29:11","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-23,23:29:13","ohtani_showyu","#0","筆記","",""
"2023-10-23,23:53:22","angeltsui","#0","https://citrine-gouda-2a6.notion.site/b43e675804a342f986d26f579310ae29?v=3619bf794dc54db9a76d97752b7a0a77&pvs=4","",""
"2023-10-23,23:53:25","angeltsui","#0","筆記","",""
"2023-10-24,00:33:04","ywyang236","#0","<@1119138528643776533>  筆記要記得設公開哦～","angeltsui#0",""
"2023-10-24,01:11:41","angeltsui","#0","好，改了一下，看看現在可不可以，感謝","",""
"2023-10-24,14:39:28","ohtani_showyu","#0","背＆三頭","",""
"2023-10-24,14:39:30","ohtani_showyu","#0","運動","",""
"2023-10-24,15:54:21","yuu0210_","#0","https://silly-march-e76.notion.site/10-24-2f5c32dcaccf48cd8a60dbbe91f88513?pvs=4","",""
"2023-10-24,15:54:25","yuu0210_","#0","筆記","",""
"2023-10-24,19:52:48","star533422","#0","https://hackmd.io/@stephen533422/HkchNQHG6","",""
"2023-10-24,19:52:51","star533422","#0","筆記","",""
"2023-10-24,19:59:43","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-24,19:59:48","ohtani_showyu","#0","筆記","",""
"2023-10-24,20:06:10","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-10-24,20:06:12","lark1987","#0","筆記","",""
"2023-10-24,21:38:02","ilbas","#0","https://www.notion.so/ezc/React-D2-3ce3c8720abd402ea3a3cc29e79cdb68","",""
"2023-10-24,21:38:07","ilbas","#0","筆記","",""
"2023-10-24,21:47:12",".wenying","#0","https://ambitious-wound-b6b.notion.site/React-20dcdbd48ca245889190d96ab5a785ab?pvs=4","",""
"2023-10-24,21:47:17",".wenying","#0","筆記","",""
"2023-10-24,21:49:58","yiyixiaoqisi","#0","https://hackmd.io/ZglSJPXbQiyOSlSBOLJr2A","",""
"2023-10-24,21:50:00","yiyixiaoqisi","#0","筆記","",""
"2023-10-24,22:31:12","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-2-7dd5b6b8e9d64bb79c158b1fdff5f6dc?pvs=4","",""
"2023-10-24,22:31:15","rouyu.","#0","筆記","",""
"2023-10-24,22:32:56","ywyang236","#0","今天快過完了，給大家一點小提醒：

如果你走前端，希望你已經在電腦建構環境，也開始實作React了，如果都沒有，至少要看一下作者提供的 code。

如果對書本內容不理解、不確定，請至少寫下自己看得懂的註記。

如果有額外找了一些資料，請謹慎使用「複製&貼上」的功能，盡可能用自己的話做總結。","",""
"2023-10-24,22:52:58","angeltsui","#0","https://citrine-gouda-2a6.notion.site/b43e675804a342f986d26f579310ae29?v=3619bf794dc54db9a76d97752b7a0a77&pvs=4","",""
"2023-10-24,22:53:01","angeltsui","#0","筆記","",""
"2023-10-24,23:24:23","rororo","#5892","https://cherry-nemophila-a61.notion.site/React-2-7d9a8c3c05e14ad0b2da1d464b53c294?pvs=4","",""
"2023-10-24,23:24:25","rororo","#5892","筆記","",""
"2023-10-25,00:03:25","lulu_cheng","#0","https://www.notion.so/React-ef420ab297424a9b8fa0798f1be1a1e7","",""
"2023-10-25,00:03:30","lulu_cheng","#0","筆記","",""
"2023-10-25,14:07:20","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-25,14:07:21","ohtani_showyu","#0","筆記","",""
"2023-10-25,15:04:40","yuu0210_","#0","https://silly-march-e76.notion.site/today-7b648938cbbc46b1808ae0a2ad987b4b","",""
"2023-10-25,15:04:44","yuu0210_","#0","筆記","",""
"2023-10-25,15:10:20","ywyang236","#0","統計系統升級了！

這次改用 React 和 firebase 寫，還不是很完美，但至少可以點擊每週的狀態了，之後再陸續美化以及新增其他小功能～

截止至目前的積分狀況：https://book-club-system.web.app/","",""
"2023-10-25,16:19:02",".wenying","#0","好奇想問 積分累計是透過抓關鍵字人工累計 還是有那種discord api可以抓","",""
"2023-10-25,16:19:07",".wenying","#0","感覺好酷","",""
"2023-10-25,16:23:08","ywyang236","#0","整本書讀完的時候，會和大家分享系統是怎麼寫的😎

新版目前還沒寫完全寫好，算半手動，所以別遲交啊～比對資料也是很累的🤣

JS讀書會的那套系統，算是95%自動，希望React 這套也可以😂","",""
"2023-10-25,17:07:04","ohtani_showyu","#0","臀腿==","",""
"2023-10-25,17:07:09","ohtani_showyu","#0","運動","",""
"2023-10-25,18:11:25","star533422","#0","https://hackmd.io/@stephen533422/Bk0tfLIfp","",""
"2023-10-25,18:11:28","star533422","#0","筆記","",""
"2023-10-25,18:32:55","ilbas","#0","上臂、胸、腹","",""
"2023-10-25,18:32:57","ilbas","#0","運動","",""
"2023-10-25,20:38:20","ilbas","#0","https://www.notion.so/ezc/React-D3-152b88c38d7b400985c555cae344d84c","",""
"2023-10-25,20:38:22","ilbas","#0","筆記","",""
"2023-10-25,20:44:38",".wenying","#0","https://ambitious-wound-b6b.notion.site/5-1-5-3-497973b5c4d046f5b7e59d0484125e5d","",""
"2023-10-25,20:44:40",".wenying","#0","筆記","",""
"2023-10-25,21:58:58","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-10-25,21:59:04","lark1987","#0","筆記","",""
"2023-10-25,22:11:20","ywyang236","#0","<@852866078320099419>  筆記和關鍵字，要分開送出，不然會統計不到哦～","rouyu.#0",""
"2023-10-25,22:12:27","rouyu.","#0","拍謝！！","",""
"2023-10-25,22:12:29","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-3-60941ec631f942bbbf460354bc54abdc?pvs=4","",""
"2023-10-25,22:12:31","rouyu.","#0","筆記","",""
"2023-10-25,23:06:56","rororo","#5892","https://cherry-nemophila-a61.notion.site/JSX-React-ce9b6bce4840418597a903cfdea0807b?pvs=4","",""
"2023-10-25,23:06:57","rororo","#5892","筆記","",""
"2023-10-25,23:08:26","rororo","#5892","捲腹 15m 
保加利亞分腿敦 15m","",""
"2023-10-25,23:08:28","rororo","#5892","運動","",""
"2023-10-25,23:55:39","angeltsui","#0","https://www.notion.so/Chapter-5-92f8327a0c2948b9a25bf8f029f437e8?pvs=4","",""
"2023-10-25,23:55:43","angeltsui","#0","筆記","",""
"2023-10-26,16:13:34","yuu0210_","#0","https://silly-march-e76.notion.site/today-7b648938cbbc46b1808ae0a2ad987b4b","",""
"2023-10-26,16:13:37","yuu0210_","#0","筆記","",""
"2023-10-26,17:44:52","ywyang236","#0","<@1123093061774360587>  求救！這個連結好像被施展了某種魔法，always 在 loading ，永遠看不到內容 😂","ohtani_showyu#0",""
"2023-10-26,17:47:41","ohtani_showyu","#0","！從第一次筆記就看不到嗎","ywyang236#0",""
"2023-10-26,17:47:50","ywyang236","#0","只有這次看不到","",""
"2023-10-26,17:47:59","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-26,17:48:13","ywyang236","#0","這個是正常的","ohtani_showyu#0",""
"2023-10-26,17:48:28","ohtani_showyu","#0","讚","",""
"2023-10-26,17:49:46","ohtani_showyu","#0","看來是模式問題😂 昨天覺得很酷所以試著改成書本模式，剛剛先改回瀏覽模式","","https://cdn.discordapp.com/attachments/1163002641010413668/1167037348148686878/2023-10-26_5.49.13.png?ex=655f203a&is=654cab3a&hm=724c560f2df1c2d941ba1244b9e79f55f9128df14ba3541343f65f2328752cc7&"
"2023-10-26,17:50:45","ywyang236","#0","讚讚！","",""
"2023-10-26,22:03:37","star533422","#0","https://hackmd.io/@stephen533422/SJ_5fJ_zT","",""
"2023-10-26,22:03:39","star533422","#0","筆記","",""
"2023-10-26,22:04:54","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-10-26,22:04:59","lark1987","#0","筆記","",""
"2023-10-26,22:49:18",".wenying","#0","https://ambitious-wound-b6b.notion.site/5-3-5-5-1-bee21300b156462c8a37247b065216a9","",""
"2023-10-26,22:49:21",".wenying","#0","筆記","",""
"2023-10-26,23:26:35","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-26,23:26:39","ohtani_showyu","#0","筆記","",""
"2023-10-26,23:27:07","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-26,23:27:08","ohtani_showyu","#0","筆記","",""
"2023-10-26,23:37:50","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-4-313685893faa4ccba3c2a4ba03cb9221?pvs=4","",""
"2023-10-26,23:37:52","rouyu.","#0","筆記","",""
"2023-10-26,23:54:26","rororo","#5892","https://cherry-nemophila-a61.notion.site/JSX-React-2-87946e4b9ba846ddaffa01a0e0edc877?pvs=4","",""
"2023-10-26,23:54:27","rororo","#5892","筆記","",""
"2023-10-26,23:57:18","angeltsui","#0","https://www.notion.so/Chapter-5-92f8327a0c2948b9a25bf8f029f437e8?pvs=4","",""
"2023-10-26,23:57:20","angeltsui","#0","筆記","",""
"2023-10-27,00:24:42","yiyixiaoqisi","#0","https://hackmd.io/ZglSJPXbQiyOSlSBOLJr2A?view","",""
"2023-10-27,00:24:44","yiyixiaoqisi","#0","筆記","",""
"2023-10-27,00:35:54","angeltsui","#0","https://www.notion.so/Chapter-5-92f8327a0c2948b9a25bf8f029f437e8?pvs=4","",""
"2023-10-27,00:35:57","angeltsui","#0","筆記","",""
"2023-10-27,15:57:31","yuu0210_","#0","https://www.notion.so/1026-1027-7b648938cbbc46b1808ae0a2ad987b4b?pvs=4","",""
"2023-10-27,15:57:35","yuu0210_","#0","筆記","",""
"2023-10-27,19:49:42",".wenying","#0","https://ambitious-wound-b6b.notion.site/5-5-1-5-5-4-679e4b2774f5447592eb078dc31f2184?pvs=4","",""
"2023-10-27,19:49:45",".wenying","#0","筆記","",""
"2023-10-27,22:26:05","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-10-27,22:26:07","lark1987","#0","筆記","",""
"2023-10-27,22:46:20","star533422","#0","https://hackmd.io/@stephen533422/SJ_5fJ_zT","",""
"2023-10-27,22:46:25","star533422","#0","筆記","",""
"2023-10-27,23:13:03","rororo","#5892","https://cherry-nemophila-a61.notion.site/JSX-React-2-87946e4b9ba846ddaffa01a0e0edc877?pvs=4","",""
"2023-10-27,23:13:24","rororo","#5892","筆記","",""
"2023-10-27,23:36:11","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-5-2c89614bb7dc445d97599bc5e18ad9a1?pvs=4","",""
"2023-10-27,23:36:14","rouyu.","#0","筆記","",""
"2023-10-28,10:38:17","yiyixiaoqisi","#0","https://hackmd.io/ZglSJPXbQiyOSlSBOLJr2A?edit","",""
"2023-10-28,10:38:20","yiyixiaoqisi","#0","筆記","",""
"2023-10-28,17:36:55","ohtani_showyu","#0","胸＋皮拉提斯","",""
"2023-10-28,17:36:57","ohtani_showyu","#0","運動","",""
"2023-10-28,19:50:46","ilbas","#0","練背、肩、腿","",""
"2023-10-28,19:50:51","ilbas","#0","運動","",""
"2023-10-28,22:57:18","ilbas","#0","中文版寫 sever <- 這個應該是錯的吧 ?","","https://cdn.discordapp.com/attachments/1163002641010413668/1167839518750167141/image.png?ex=65620b4e&is=654f964e&hm=33f3d0658976965fa9f109d5a5f395fbf76932932b51695b6173f4f7bd4e514a&"
"2023-10-28,22:58:45","ilbas","#0","https://ezc.notion.site/React-D4-7ef84de3efe442b9a9811bbbdea85bd2?pvs=4","",""
"2023-10-28,22:58:48","ilbas","#0","筆記","",""
"2023-10-28,23:37:19","ohtani_showyu","#0","這裡是指簡體中文嗎？繁體中文是對的","ilbas#0","https://cdn.discordapp.com/attachments/1163002641010413668/1167849588837855332/IMG_6219.jpg?ex=656214af&is=654f9faf&hm=d8500f7b33858c8ce2eb76e3fef69405aae23cc93443ffbfcdbd3ccaef062a76&"
"2023-10-28,23:38:27","ilbas","#0","抱歉，ㄆ一ㄚˇ眼","",""
"2023-10-29,01:25:08","ywyang236","#0","朝自動化統計，又邁進了一點點.... 😆 

大家可以稍微檢查一下，有沒有統計錯誤 

截止至目前的積分：
https://book-club-system.web.app/","",""
"2023-10-29,11:05:54","yiyixiaoqisi","#0","練腿","",""
"2023-10-29,11:05:55","yiyixiaoqisi","#0","運動","",""
"2023-10-29,11:42:41","lulu_cheng","#0","https://www.notion.so/React-ef420ab297424a9b8fa0798f1be1a1e7","",""
"2023-10-29,11:42:46","lulu_cheng","#0","筆記","",""
"2023-10-29,11:42:48","lulu_cheng","#0","https://www.notion.so/React-ef420ab297424a9b8fa0798f1be1a1e7","",""
"2023-10-29,11:42:50","lulu_cheng","#0","筆記","",""
"2023-10-29,11:42:52","lulu_cheng","#0","https://www.notion.so/React-ef420ab297424a9b8fa0798f1be1a1e7","",""
"2023-10-29,11:42:55","lulu_cheng","#0","筆記","",""
"2023-10-29,11:43:48","lulu_cheng","#0","補充本週心得：next.js 真是強大，方便、功能又完整","",""
"2023-10-29,17:29:46","ywyang236","#0","<@592219494072582144>  好像看不到 10/25 的部分 😅 筆記要記得在這裡設公開哦～","yuu0210_#0",""
"2023-10-29,17:33:29","yuu0210_","#0","https://silly-march-e76.notion.site/React-ec8e2284bdce47df9b34363b7644cc80","",""
"2023-10-29,17:33:43","yuu0210_","#0","更正連結~","ywyang236#0",""
"2023-10-29,17:50:22","ywyang236","#0","","","https://cdn.discordapp.com/attachments/1163002641010413668/1168124665026318356/IMG_6141.png?ex=656314de&is=65509fde&hm=1676fcb08938e86e8e1a948658c58d8e88cf4beb24d94e8efae446a888e4a97a&"
"2023-10-29,17:53:19","ywyang236","#0","繁體書，第83頁下面，延展運算子（Spread Operator）是三個半形句點才對哦！

前面第二章p.23是對的，第五章這裡寫錯了，要稍微注意一下。

簡體版第二章寫到的「扩展运算符」是正確的，第五章沒提到。","",""
"2023-10-29,18:39:51","ywyang236","#0","明天早上9:30，要和大家借用一點時間，我們來討論一下，下一週要做的事情。

主要是找出大家都方便的活動時段。

會議連結明早提供，9:20開放加入會議。","",""
"2023-10-29,20:45:14","ilbas","#0","https://ezc.notion.site/React-D5-150e260961bc4f5296b961718e6564d4?pvs=4","",""
"2023-10-29,20:45:16","ilbas","#0","筆記","",""
"2023-10-29,23:06:38","yating.chang","#0","https://medium.com/@cyt.christinechang/react%E5%AD%B8%E7%BF%92%E6%89%8B%E5%86%8A%E8%AE%80%E6%9B%B8%E7%AD%86%E8%A8%98-%E7%AC%AC%E5%9B%9B%E7%AB%A0-819d68abfe38","",""
"2023-10-29,23:06:41","yating.chang","#0","筆記","",""
"2023-10-29,23:06:44","yating.chang","#0","筆記","",""
"2023-10-29,23:07:05","yating.chang","#0","https://medium.com/@cyt.christinechang/react%E5%AD%B8%E7%BF%92%E6%89%8B%E5%86%8A%E8%AE%80%E6%9B%B8%E7%AD%86%E8%A8%98-%E7%AC%AC%E4%BA%94%E7%AB%A0-466fd70cb859","",""
"2023-10-29,23:07:09","yating.chang","#0","筆記","",""
"2023-10-29,23:07:10","yating.chang","#0","筆記","",""
"2023-10-29,23:07:20","yating.chang","#0","https://medium.com/@cyt.christinechang/%E5%95%8F%E7%AD%94%E9%A1%8C-aae1c2fa5a08","",""
"2023-10-29,23:07:32","yating.chang","#0","補週三游泳","",""
"2023-10-29,23:07:34","yating.chang","#0","運動","",""
"2023-10-29,23:07:38","yating.chang","#0","今日羽球","",""
"2023-10-29,23:07:39","yating.chang","#0","運動","",""
"2023-10-29,23:36:43","ywyang236","#0","大家的筆記我都看完了～ 明天早上 9:30 見唷～

截止至目前的積分：https://book-club-system.web.app/","",""
"2023-10-30,09:16:11","ywyang236","#0","今天早上的會議連結（9:20開放加入會議）：

https://meet.google.com/fvy-zobb-rqq","",""
"2023-10-30,09:41:23","ohtani_showyu","#0","活動","",""
"2023-10-30,09:44:13","ilbas","#0","活動","",""
"2023-10-30,09:44:25","yiyixiaoqisi","#0","活動","",""
"2023-10-30,09:44:29","lark1987","#0","活動","",""
"2023-10-30,09:44:31",".wenying","#0","活動","",""
"2023-10-30,09:44:33","yating.chang","#0","活動","",""
"2023-10-30,09:44:35","yuu0210_","#0","活動","",""
"2023-10-30,09:44:41","lulu_cheng","#0","活動","",""
"2023-10-30,09:45:25","rouyu.","#0","活動","",""
"2023-10-30,09:45:26","rororo","#5892","活動","",""
"2023-10-30,09:46:18","angeltsui","#0","活動","",""
"2023-10-30,12:03:41","ywyang236","#0","大家午安，

根據早上的討論，這週除了照閱讀進度推進之外，11/4(六)晚上9點，會在群組內舉辦一個期初報告的演練活動，讓大家多一個機會練習（會議連結當天提供）。

厚積而薄發，你所有的努力，都不會白費。

最後和大家分享一件事情，昨晚終於把統計系統自動化設定成功了，它現在可以下一個指令就完成大部分的事情，速度加快很多，但依然不是即時更新的狀態，未來會在每個星期三、星期六、星期天的晚上，讓大家知道自己目前的狀況～","",""
"2023-10-30,15:08:10",".wenying","#0","https://ambitious-wound-b6b.notion.site/6-1-6-2-788b971116fe46598c3ce4b6cf07ca5b?pvs=4","",""
"2023-10-30,15:08:14",".wenying","#0","筆記","",""
"2023-10-30,19:58:16","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-10-30,19:58:19","lark1987","#0","筆記","",""
"2023-10-30,20:42:02","yuu0210_","#0","https://www.notion.so/React-ec8e2284bdce47df9b34363b7644cc80?pvs=4","",""
"2023-10-30,20:42:06","yuu0210_","#0","筆記","",""
"2023-10-30,21:17:57","lulu_cheng","#0","運動","",""
"2023-10-30,21:18:00","lulu_cheng","#0","核心","",""
"2023-10-30,21:27:32","ilbas","#0","上臂、胸、腹","",""
"2023-10-30,21:27:36","ilbas","#0","運動","",""
"2023-10-30,22:06:22","ohtani_showyu","#0","胸＋三頭","",""
"2023-10-30,22:06:22","ohtani_showyu","#0","運動","",""
"2023-10-30,23:52:06","star533422","#0","https://hackmd.io/@stephen533422/H1YrIBTfp","",""
"2023-10-30,23:52:11","star533422","#0","筆記","",""
"2023-10-30,23:59:59","angeltsui","#0","https://www.notion.so/b43e675804a342f986d26f579310ae29?pvs=4#631ec99f44c94c0a9b48eb9d1b675a6a","",""
"2023-10-31,00:00:00","angeltsui","#0","筆記","",""
"2023-10-31,00:56:24","yiyixiaoqisi","#0","https://hackmd.io/n96z8ML0TsqUl5uJfN_InA","",""
"2023-10-31,00:56:26","yiyixiaoqisi","#0","筆記","",""
"2023-10-31,01:40:44","yiyixiaoqisi","#0","https://hackmd.io/n96z8ML0TsqUl5uJfN_InA","",""
"2023-10-31,01:40:45","yiyixiaoqisi","#0","筆記","",""
"2023-10-31,14:02:50",".wenying","#0","https://ambitious-wound-b6b.notion.site/6-3-6-4-2-83b5d624ac9e4f90a4a7c1da5493f2d5?pvs=4","",""
"2023-10-31,14:02:53",".wenying","#0","筆記","",""
"2023-10-31,15:58:56","ywyang236","#0","大家午安～

禮拜六晚上9點變成是 Lucas 助教的 office hour，所以我們只能稍微提前一點，改成禮拜六晚上 7:30，結束後大家可以用比較輕鬆的狀態，參加 office hour。

禮拜六實際練習後，隔天還可以調整、修改，禮拜一正式報告時會比較從容一點。

如果改成禮拜六晚上 7:30 沒辦法參與，麻煩請讓我知道 ❤️","",""
"2023-10-31,20:22:24","yuu0210_","#0","https://www.notion.so/React-ec8e2284bdce47df9b34363b7644cc80","",""
"2023-10-31,20:22:27","yuu0210_","#0","筆記","",""
"2023-10-31,20:49:25","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-10-31,20:49:31","lark1987","#0","筆記","",""
"2023-10-31,21:02:07","star533422","#0","https://hackmd.io/@stephen533422/S1KE9v0Ga","",""
"2023-10-31,21:02:08","star533422","#0","筆記","",""
"2023-10-31,22:55:55","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-8-18f90a0760f940fc83a262db25f96f8d?pvs=4","",""
"2023-10-31,22:55:58","rouyu.","#0","筆記","",""
"2023-10-31,23:03:23","angeltsui","#0","https://www.notion.so/b43e675804a342f986d26f579310ae29?pvs=4#631ec99f44c94c0a9b48eb9d1b675a6a","",""
"2023-10-31,23:03:26","angeltsui","#0","筆記","",""
"2023-10-31,23:24:25","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-9-2bf81f2497aa4d1da98ee003c5d23039?pvs=4","",""
"2023-10-31,23:24:28","rouyu.","#0","筆記","",""
"2023-10-31,23:39:17","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-31,23:39:18","ohtani_showyu","#0","筆記","",""
"2023-10-31,23:39:19","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-10-31,23:39:21","ohtani_showyu","#0","筆記","",""
"2023-11-01,09:39:46","yuu0210_","#0","https://www.notion.so/React-ec8e2284bdce47df9b34363b7644cc80","",""
"2023-11-01,09:39:47","yuu0210_","#0","筆記","",""
"2023-11-01,13:22:59","rouyu.","#0","https://smiling-prepared-a94.notion.site/Day-10-ea8661c4254049fbab0a9cc5c8a7aa46?pvs=4","",""
"2023-11-01,13:23:01","rouyu.","#0","筆記","",""
"2023-11-01,14:48:16","ohtani_showyu","#0","https://hackmd.io/@siouyu/r17hO5QMp","",""
"2023-11-01,14:48:19","ohtani_showyu","#0","筆記","",""
"2023-11-01,14:48:22","ohtani_showyu","#0","練背","",""
"2023-11-01,14:48:23","ohtani_showyu","#0","運動","",""
"2023-11-01,15:57:22",".wenying","#0","https://ambitious-wound-b6b.notion.site/6-4-2-6-5-3-b81076dd92824cb69195d5b67d69db56?pvs=4","",""
"2023-11-01,15:57:25",".wenying","#0","筆記","",""
"2023-11-01,16:03:41",".wenying","#0","有個問題想跟大家請教，有關useRef的部分，書上有一句「非受控元件可以解決一些特殊問題，例如：React以外的網頁區塊共享表單與數值狀態」，不太確定它具體指稱的是什麼？

比較已知的是相對useState，useRef像是直接操作DOM","",""
"2023-11-01,16:44:53","ohtani_showyu","#0","我是另外去找受控元件和非受控元件分別可應用的場景來理解這句

https://vue3js.cn/interview/React/controlled_Uncontrolled.html#%E4%BA%8C%E3%80%81%E9%9D%9E%E5%8F%97%E6%8E%A7%E7%BB%84%E4%BB%B6",".wenying#0",""
"2023-11-01,19:57:21","lark1987","#0","https://long-bookcase-189.notion.site/React-406313a8409048baa6f1b395690ca2ac?pvs=4","",""
"2023-11-01,19:57:23","lark1987","#0","筆記","",""
"2023-11-01,20:24:58",".wenying","#0","感謝 🙏 我再來研究一下","ohtani_showyu#0",""
